"DHSID","pred","zero","one","three","five","seven"
"BU201000000036",-0.982018938246089,-1.23619103432,-1.72533273697,-1.47824037075,-1.57052183151,-1.26289045811
"BU201000000037",0.0967079728816095,-0.894662082195,-0.846408963203,-1.0396014452,-1.70680260658,-0.546979129314
"BU201000000038",-0.797559231501245,-0.998097121716,-1.07348167896,-1.30534482002,-1.41122066975,-1.11871469021
"BU201000000039",-1.38402988691032,-0.449819654226,-0.435927569866,-0.587595403194,-0.404357671738,-0.685378372669
"BU201000000040",-1.95938624430425,-1.04708695412,-0.800235331059,-1.2226319313,-0.956000566483,-0.729515194893
"BU201000000041",-0.763778893436896,-0.104878827929,-0.73965793848,-0.536474883556,-0.165828168392,-0.304782032967
"BU201000000042",-1.09438628637615,0.170299232006,0.461079746485,0.747343599796,0.931546390057,1.14848899841
"BU201000000043",-1.26537877461682,-1.38702070713,-1.8951407671,-2.37431573868,-2.32248067856,-2.86432790756
"BU201000000044",-0.473988141361857,-1.40138423443,-1.45274353027,-2.17575573921,-2.21986985207,-2.56112957001
"BU201000000045",0.115120865279577,-0.0977837070823,0.255232661963,0.61363530159,0.607751786709,0.567888200283
"BU201000000046",-0.505438456785584,-0.281853735447,0.186406224966,0.461367696524,0.535912454128,0.608253479004
"BU201000000047",-1.14336961510308,-0.768983066082,-0.596345126629,-0.505019247532,-0.720691144466,-0.484915494919
"BU201000000048",-1.39383035417767,-1.04787647724,-1.331843853,-1.54893016815,-1.3826956749,-1.41702520847
"BU201000000049",-1.0818714095794,-0.978763699532,-1.55113637447,-1.4536730051,-1.58897686005,-1.86268734932
"BU201000000050",-1.17355384275265,-1.1338146925,-1.61636543274,-1.67962932587,-1.38897454739,-1.55535674095
"BU201000000051",2.95890868474866,2.31954312325,2.25913095474,2.45636820793,2.94802594185,3.42897176743
"BU201000000052",-1.3825634681458,-1.28755044937,-1.87964975834,-1.78044843674,-2.05846810341,-2.25232100487
"BU201000000053",-1.45178847374627,-0.582179605961,-0.720323860645,-0.898157835007,-0.492976456881,-0.816591620445
"BU201000000054",1.13364861642062,1.16513288021,1.21011662483,1.4072368145,1.34871780872,1.48370349407
"BU201000000055",-1.40229820178122,-1.11558330059,-1.63038492203,-1.90812051296,-1.80598568916,-1.48488366604
"BU201000000056",2.61322222300715,2.09969091415,2.25158023834,2.36744070053,2.8389108181,3.06433200836
"BU201000000057",0.740784232734987,2.19547939301,2.44910430908,2.61999988556,2.90134716034,3.00514245033
"BU201000000058",-1.80055574749388,-0.887269437313,-1.38727796078,-1.89250457287,-1.73596632481,-1.31381702423
"BU201000000059",-1.42254598605714,-0.983539819717,-1.38969421387,-1.61131668091,-1.3025277853,-1.22777616978
"BU201000000060",-0.349510586044535,1.05381703377,1.59148824215,1.56480276585,1.53875505924,1.67923438549
"BU201000000061",1.84537223792874,2.06453251839,1.90913677216,2.47209429741,2.90802311897,2.99839782715
"BU201000000062",0.335732035533859,0.280333608389,0.88864672184,0.81787610054,1.18988335133,1.02460634708
"BU201000000063",2.4507068725441,2.31484150887,2.25761055946,2.64322590828,3.09061813354,3.1986284256
"BU201000000064",0.322300399115943,1.62040150166,1.92466843128,2.08804297447,2.4653441906,2.89575767517
"BU201000000065",-0.841467428933996,-0.994096517563,-1.64229106903,-1.66547811031,-1.87818348408,-1.90159487724
"BU201000000066",-0.83889973857433,-1.21038591862,-1.03027951717,-1.46440351009,-1.22902393341,-1.40029263496
"BU201000000067",-1.63199810524017,-0.910313725471,-1.33168792725,-1.56611764431,-1.26810824871,-1.26371920109
"BU201000000068",-1.2818873859031,-1.10140025616,-1.75584852695,-1.86331939697,-1.69511342049,-1.67640256882
"BU201000000069",-0.753839038725594,-0.611478924751,-0.0584443733096,-0.165675133467,0.10873542726,0.0498615577817
"BU201000000070",0.352700623996151,-0.833601951599,-0.37216603756,-0.517294287682,-0.546772837639,-0.372191637754
"BU201000000071",-0.145773464316502,-1.29379439354,-1.6529583931,-1.52105748653,-2.26600456238,-2.33899855614
"BU201000000072",-1.15922980093521,-1.04448330402,-1.06532049179,-1.39391124249,-1.3892261982,-1.5293892622
"BU201000000073",-0.85966737245308,-0.433625936508,-0.860641241074,-1.04983305931,-0.51139330864,-0.440375179052
"BU201000000074",-1.06983460197209,-1.51745414734,-1.64071261883,-2.33103847504,-2.14053106308,-2.18071389198
"BU201000000075",-0.738504269581768,-1.0418214798,-1.57189333439,-1.91508126259,-1.99491941929,-1.37263679504
"BU201000000076",-1.33509433974976,-1.01153755188,-1.03464436531,-1.30030727386,-0.907505393028,-1.30549812317
"BU201000000077",0.45925304906861,1.52915430069,1.92544579506,2.21395158768,2.02532720566,2.02296733856
"BU201000000078",-1.05539419108441,-0.885123848915,-0.726710617542,-1.02334547043,-0.706073641777,-0.859981417656
"BU201000000079",-1.53033945491819,-1.29018318653,-1.83125126362,-1.65180814266,-0.696718037128,-0.941116452217
"BU201000000080",-1.74007594570705,-1.06931805611,-0.938632309437,-1.20615684986,-0.922078132629,-0.98657399416
"BU201000000081",5.59278750219653,1.7052410841,2.0091085434,1.87659037113,2.18870091438,2.45245671272
"BU201000000082",-1.13207766353751,-1.18419516087,-2.02116084099,-2.20241475105,-1.13899898529,-1.00928390026
"BU201000000083",-0.665449720171319,-1.26099634171,-1.67017936707,-1.70585739613,-1.51873147488,-1.56327116489
"BU201000000084",-0.865206570639539,-0.790351986885,-0.850869774818,-1.03008341789,-0.997229814529,-0.805849134922
"BU201000000085",-1.48647923591589,-1.32940733433,-2.31734728813,-2.01088476181,-1.67555439472,-1.96267700195
"BU201000000086",-1.42275879889807,-1.18042516708,-1.66193795204,-1.49458253384,-1.70521378517,-1.8599281311
"BU201000000087",-0.993500071038727,-0.831126153469,-0.93530100584,-1.35556268692,-1.78919780254,-1.33480644226
"BU201000000088",-0.628091846120375,-0.684757351875,-0.593864679337,-0.907064199448,-0.39234790206,-0.204632878304
"BU201000000089",-0.843295831855129,-1.0592135191,-0.917416751385,-0.911191165447,-0.715133070946,-0.51617962122
"BU201000000090",-0.798923796329411,-0.979955673218,-1.00442504883,-1.25356853008,-1.34195017815,-1.15392398834
"BU201000000091",-1.47144693873587,0.148904591799,-0.244458243251,-0.137373045087,-0.147222802043,-0.264042377472
"BU201000000092",-1.491645131987,-0.584155201912,-0.557791829109,-0.543830096722,-0.533238947392,-0.25266122818
"BU201000000093",-1.35647252616596,-1.17561280727,-1.60506141186,-1.5093985796,-1.52361345291,-1.71256768703
"BU201000000094",-0.0246247527340329,-0.945780694485,-0.649580001831,-0.74807292223,-0.878441035748,-0.878433763981
"BU201000000095",-1.15078928269577,-0.861062765121,-0.918957710266,-1.06351649761,-0.980885505676,-0.800434052944
"BU201000000096",-1.05755650008954,-1.17171490192,-1.06836926937,-1.37822306156,-1.79533815384,-1.60218298435
"BU201000000097",-1.6665527282761,-0.691503465176,-0.812744796276,-0.947186529636,-1.06562387943,-0.923392832279
"BU201000000098",-1.75137008746645,-0.915924489498,-0.988717377186,-1.27625095844,-1.45156109333,-1.14440941811
"BU201000000099",-0.852235978290943,-1.02755904198,-0.736117482185,-0.685951948166,-0.736515879631,-0.546804785728
"BU201000000100",-1.32619894896658,-1.20253813267,-1.04488217831,-1.4543453455,-1.72928929329,-1.27216589451
"BU201000000101",-0.701135543713651,-0.697860777378,-0.845552206039,-1.14861965179,-1.57373511791,-1.23898744583
"BU201000000102",-1.75489318535552,-1.28510510921,-1.56618654728,-1.22301447392,-1.70919644833,-2.2398519516
"BU201000000103",-1.43145084282281,-0.810273170471,-1.52301704884,-0.966971755028,-0.830864906311,-0.975380718708
"BU201000000104",1.05382961116689,1.87919580936,2.25563263893,2.50130605698,2.51922917366,2.41882896423
"BU201000000105",4.52197763146328,1.42938697338,1.68352639675,1.9029494524,1.96217310429,2.00169801712
"BU201000000106",-1.28429264606015,-1.06765305996,-1.51407933235,-1.1926908493,-1.36610710621,-1.27825701237
"BU201000000107",-1.70965456583764,-1.09056591988,-1.1683037281,-1.20502972603,-1.05356907845,-1.16002857685
"BU201000000108",-1.55932931732035,-1.08955132961,-0.35585924983,-1.02759230137,-0.783190310001,-1.16265845299
"BU201000000109",-0.112575640899776,-1.33594882488,-1.45986557007,-1.51073813438,-1.75543475151,-1.74885642529
