"lat","long","change"
-0.383333,32.3,-0.884606533
1.532778,32.745278,-0.883334254
2.533333,33.85,-0.882675889
2.516667,33.883333,-0.882675889
2.533333,33.833333,-0.882675889
2.160302,31.4165704,-0.880667194
2.136232,31.465763,-0.880667194
1.433333,32.033333,-0.879279698
1.45,32.05,-0.879279698
3.682842,31.7033,-0.876675578
-0.083333,32.016667,-0.876514815
-0.083333,32.05,-0.876514815
3.2988056,33.259645,-0.876192424
3.2851944,33.2299444,-0.876192424
3.3279,33.266,-0.876192424
3.3060167,33.2486333,-0.876192424
2.482738,32.23865,-0.874694732
2.4,33.75,-0.873911736
0.135833,30.363611,-0.873848785
-0.6696997,31.5830146,-0.873684472
-0.6699138,31.5863338,-0.873684472
1.566667,32.95,-0.87252787
-0.816667,31.35,-0.871198918
-0.833333,31.4,-0.871198918
1.183333,32.133333,-0.867112225
1.5,32.616667,-0.866024046
1.514051,32.445095,-0.857040428
1.518002,32.446747,-0.857040428
1.520421,32.46148,-0.857040428
1.51743,32.460781,-0.857040428
1.5,33.3,-0.855007163
1.466667,33.333333,-0.855007163
-0.099164,29.8309981,-0.85437518
1.728536,32.46307,-0.851718878
1.4,32.816667,-0.850469988
1.8329385,31.7083755,-0.847073617
1.8245534,31.7063141,-0.847073617
1.8460346,31.7083935,-0.847073617
3.236667,33.093056,-0.845259668
3.2684171,33.0544956,-0.845259668
1.643459,32.142044,-0.841292085
1.68693,32.179217,-0.841292085
2.316667,33.566667,-0.837606655
0.4018262,30.4127546,-0.834904976
0.4,30.416667,-0.834904976
0.416667,30.416667,-0.834904976
0.366667,30.433333,-0.834904976
0.4109873,30.4035716,-0.834904976
0.383333,30.416667,-0.834904976
-0.5,30.883333,-0.834598036
-0.5,30.916667,-0.834598036
3.4887778,33.4114722,-0.834180437
2.65048,31.371777,-0.830677532
2.658623,31.397032,-0.830677532
2.613462,31.359585,-0.830677532
2.628429,31.384294,-0.830677532
2.643494,31.396512,-0.830677532
2.604702,31.402517,-0.830677532
