"DHSID","year","lat","long","base","base_w_elec","no_elec_no_app","elec_no_app","n"
"TZ201500000287",2015,-4.313332,33.892426,-1.10208524349799,-1.28223937005442,-0.806260987102317,-1.03233165774877,21
"TZ201500000288",2015,-4.060032,33.755275,-1.51809505902876,-1.66280373077521,-1.32598689494268,-1.50119503387475,20
"TZ201500000289",2015,-4.377097,33.447702,-1.16001250569378,-1.33249992252869,-0.897377216171826,-1.10627286083318,21
"TZ201500000290",2015,-5.402389,33.67882,-1.73690134966969,-1.85178391380093,-1.685206199927,-1.80498585956833,22
"TZ201500000291",2015,-4.940445,32.633785,0.0815816534851352,-0.182271357111529,0.377978872977251,0.0641961439060476,21
"TZ201500000292",2015,-5.7028887,33.969511,-1.33804302374688,-1.48889411208722,-1.16466875243413,-1.33028125775151,22
"TZ201500000293",2015,-5.030755,32.133267,-0.504529142469082,-0.730036270006028,-0.116475491868055,-0.391045966502799,21
"TZ201500000294",2015,-5.281255,32.038597,-0.906579229872217,-1.09199227509566,-0.680106384207467,-0.892534412983014,21
"TZ201500000295",2015,-5.620559,32.760391,1.52290050418949,1.75032286265936,1.42556454602787,1.66148069303622,20
"TZ201500000296",2015,-6.260185,33.86394,-1.28089442894356,-1.43929177403687,-1.05989567451425,-1.24542611058948,21
"TZ201500000297",2015,-5.007246,32.820253,0.790781755825919,0.777454644017587,1.1619122580825,1.10945686003359,22
"TZ201500000298",2015,-5.069385,32.805101,1.01144464313205,0.983554465618312,1.21422113596037,1.15390386334033,22
"TZ201500000299",2015,-4.937137,32.745899,-0.0744252463101891,-0.332769987765076,0.378412504735255,0.0572319120158025,22
"TZ201500000300",2015,-5.11636,31.391069,-1.2373193639323,-1.39366948409714,-1.03986666004359,-1.21247249157969,19
"TZ201500000301",2015,-4.559297,31.942096,-1.48925678757196,-1.62518742471619,-1.33855231635814,-1.48679690732223,22
"TZ201500000302",2015,-8.180952,31.498729,-0.854528291560307,-1.04592826504618,-0.528263018251401,-0.760808267841797,19
"TZ201500000303",2015,-8.539429,31.906491,-1.00646526079892,-1.1855356492756,-0.742992454428312,-0.950990856380423,22
"TZ201500000304",2015,-8.790064,31.754375,-0.739194117546992,-0.938778902773367,-0.461549813908453,-0.696554400056737,21
"TZ201500000305",2015,-8.381169,31.596398,-0.853764258442249,-1.04689976766384,-0.579877556900017,-0.813197390190652,21
"TZ201500000306",2015,-7.854325,31.819244,-0.964451988983541,-1.1477096129245,-0.679082822835197,-0.896068579043944,22
"TZ201500000307",2015,-8.22945,31.866744,-0.264577941490546,-0.497632692988524,-0.0193026149415246,-0.298319655068282,21
"TZ201500000308",2015,-8.059425,31.818424,-1.1151996136871,-1.28624861502173,-0.857359062559608,-1.05987257193084,21
